DateTime,From,Value_IN
2021/10/22 17:52,0x03c57f8f478f2ba8202602ba1c82a0cccdb6d534,10.0
2021/10/22 17:53,0x03c57f8f478f2ba8202602ba1c82a0cccdb6d534,10.0
2021/10/22 17:54,0x03c57f8f478f2ba8202602ba1c82a0cccdb6d534,10.0
2021/10/22 17:54,0x03c57f8f478f2ba8202602ba1c82a0cccdb6d534,10.0
2021/10/22 17:57,0x03c57f8f478f2ba8202602ba1c82a0cccdb6d534,1.0
2021/10/22 17:59,0x03c57f8f478f2ba8202602ba1c82a0cccdb6d534,1.0
2021/10/23 11:46,0x03c57f8f478f2ba8202602ba1c82a0cccdb6d534,10.0
2021/10/23 11:47,0x03c57f8f478f2ba8202602ba1c82a0cccdb6d534,1.0
2021/10/23 11:48,0x03c57f8f478f2ba8202602ba1c82a0cccdb6d534,1.0
2021/10/23 11:50,0x03c57f8f478f2ba8202602ba1c82a0cccdb6d534,1.0
