DateTime,From,Value_IN
2020/12/30 20:35,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,1.0
2020/12/31 21:01,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/1/1 3:19,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/1/2 6:05,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/1/3 3:42,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/1/5 6:44,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/1/6 15:41,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/1/7 1:10,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,100.0
2021/1/9 1:39,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/1/10 2:28,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/1/10 6:21,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/1/10 23:35,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/1/12 4:37,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/1/15 4:04,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/2/14 3:06,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/2/17 4:54,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/2/21 4:48,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/2/26 13:53,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/2/27 0:42,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/2/27 22:00,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/3/3 1:57,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/3/29 4:14,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/3/30 5:08,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/4/1 22:21,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,100.0
2021/4/4 2:16,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,100.0
2021/4/6 3:47,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,100.0
2021/4/14 23:04,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/4/23 20:49,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,10.0
2021/5/3 2:17,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,1.0
2021/10/19 2:18,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,1.0
2021/11/28 5:38,0x280db0f897b08e2c8d72ca09936a344f9f0fff49,1.0
