DateTime,From,Value_IN
2022/1/23 2:52,0x4a5b26505001d28c1e514214fb077cb23130defc,100.0
2022/1/23 3:05,0x4a5b26505001d28c1e514214fb077cb23130defc,10.0
2022/1/23 3:08,0x4a5b26505001d28c1e514214fb077cb23130defc,10.0
2022/1/23 3:11,0x4a5b26505001d28c1e514214fb077cb23130defc,10.0
2022/1/23 3:14,0x4a5b26505001d28c1e514214fb077cb23130defc,10.0
2022/1/23 3:16,0x4a5b26505001d28c1e514214fb077cb23130defc,10.0
2022/1/23 3:18,0x4a5b26505001d28c1e514214fb077cb23130defc,10.0
2022/1/23 3:20,0x4a5b26505001d28c1e514214fb077cb23130defc,10.0
2022/1/23 18:16,0x4a5b26505001d28c1e514214fb077cb23130defc,100.0
2022/1/23 18:18,0x4a5b26505001d28c1e514214fb077cb23130defc,100.0
2022/1/23 18:19,0x4a5b26505001d28c1e514214fb077cb23130defc,100.0
2022/1/23 18:20,0x4a5b26505001d28c1e514214fb077cb23130defc,10.0
