DateTime,From,Value_IN
2021/7/23 7:56,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/7/25 22:38,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/7/26 0:23,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/7/26 0:35,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/7/28 3:10,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/7/28 3:14,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/7/28 3:18,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/8/1 14:36,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/8/1 14:52,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/8/1 14:56,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/8/24 10:47,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,10.0
2021/8/25 4:33,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,10.0
2021/9/8 10:41,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,10.0
2021/9/17 6:39,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,0.1
2021/9/19 14:05,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/9/19 14:12,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/9/19 14:16,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/9/19 14:22,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,1.0
2021/9/20 17:11,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,10.0
2021/9/28 18:37,0x559ebfec7be7f1a27a38be3b03bf2d4c70ad62b3,10.0
