DateTime,From,Value_IN
2020/9/18 7:02,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,10.0
2020/10/3 1:53,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,10.0
2020/10/3 4:52,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,10.0
2020/10/11 7:23,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,10.0
2020/10/12 7:38,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,10.0
2020/10/17 6:43,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,1.0
2020/10/17 6:46,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,1.0
2020/10/29 1:15,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,10.0
2020/11/24 4:43,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,1.0
2020/11/24 23:54,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,1.0
2020/11/28 0:28,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,1.0
2020/11/30 1:41,0x838d731321ca1fcd64a6fad5a4c9aedd2f7f2add,1.0
