DateTime,From,Value_IN
2021/9/14 21:44,0x8640807d1b1863a03be8d4b07473c59158adeb8a,10.0
2021/9/14 21:58,0x8640807d1b1863a03be8d4b07473c59158adeb8a,10.0
2021/9/14 22:43,0x8640807d1b1863a03be8d4b07473c59158adeb8a,10.0
2021/9/14 23:33,0x8640807d1b1863a03be8d4b07473c59158adeb8a,10.0
2021/9/15 0:33,0x8640807d1b1863a03be8d4b07473c59158adeb8a,10.0
2021/9/15 0:44,0x8640807d1b1863a03be8d4b07473c59158adeb8a,10.0
2021/9/15 0:53,0x8640807d1b1863a03be8d4b07473c59158adeb8a,10.0
2021/9/15 2:11,0x8640807d1b1863a03be8d4b07473c59158adeb8a,1.0
2021/9/15 2:26,0x8640807d1b1863a03be8d4b07473c59158adeb8a,0.1
2021/9/15 2:36,0x8640807d1b1863a03be8d4b07473c59158adeb8a,0.1
