DateTime,From,Value_IN
2020/1/17 21:22,0x908577127a530c7f3fff655ce78942bc53f3f95b,0.1
2020/1/17 21:24,0x908577127a530c7f3fff655ce78942bc53f3f95b,0.1
2020/1/17 22:41,0x908577127a530c7f3fff655ce78942bc53f3f95b,0.1
2020/1/17 22:45,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/1/17 23:06,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/1/17 23:15,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/1/17 23:22,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/1/17 23:24,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/1/18 0:01,0x908577127a530c7f3fff655ce78942bc53f3f95b,0.1
2020/1/18 0:09,0x908577127a530c7f3fff655ce78942bc53f3f95b,0.1
2020/1/18 0:11,0x908577127a530c7f3fff655ce78942bc53f3f95b,0.1
2020/1/18 0:15,0x908577127a530c7f3fff655ce78942bc53f3f95b,0.1
2020/2/14 20:47,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/2/14 20:49,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/2/14 20:51,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/2/14 20:54,0x908577127a530c7f3fff655ce78942bc53f3f95b,0.1
2020/3/3 18:19,0x908577127a530c7f3fff655ce78942bc53f3f95b,10.0
2020/3/3 18:22,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/3/3 20:31,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/3/3 20:33,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/6/26 21:40,0x908577127a530c7f3fff655ce78942bc53f3f95b,10.0
2020/6/26 21:42,0x908577127a530c7f3fff655ce78942bc53f3f95b,10.0
2020/6/26 21:43,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/11/6 19:59,0x908577127a530c7f3fff655ce78942bc53f3f95b,10.0
2020/11/6 20:02,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/11/6 20:02,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
2020/11/6 20:02,0x908577127a530c7f3fff655ce78942bc53f3f95b,1.0
