DateTime,From,Value_IN
2021/2/6 12:32,0x98a45964d857ccb37db47d7ef853528396dc0c52,10.0
2021/2/6 14:10,0x98a45964d857ccb37db47d7ef853528396dc0c52,10.0
2021/2/6 14:12,0x98a45964d857ccb37db47d7ef853528396dc0c52,10.0
2021/2/6 14:13,0x98a45964d857ccb37db47d7ef853528396dc0c52,10.0
2021/2/6 14:15,0x98a45964d857ccb37db47d7ef853528396dc0c52,10.0
2021/2/6 14:15,0x98a45964d857ccb37db47d7ef853528396dc0c52,10.0
2021/2/7 4:51,0x98a45964d857ccb37db47d7ef853528396dc0c52,1.0
2021/4/24 16:08,0x98a45964d857ccb37db47d7ef853528396dc0c52,10.0
2021/4/24 16:09,0x98a45964d857ccb37db47d7ef853528396dc0c52,10.0
2021/4/24 16:21,0x98a45964d857ccb37db47d7ef853528396dc0c52,1.0
