DateTime,From,Value_IN
2021/3/19 4:52,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,1.0
2021/4/7 2:40,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,10.0
2021/4/7 2:44,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,10.0
2021/4/7 2:54,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,10.0
2021/7/31 21:52,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,1.0
2021/8/1 3:39,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,1.0
2021/8/1 16:00,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,10.0
2021/8/6 13:59,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,1.0
2021/8/6 14:00,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,1.0
2021/8/8 19:06,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,1.0
2021/8/8 19:07,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,1.0
2021/8/8 19:07,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,1.0
2021/8/19 18:02,0xe778f8b38d50a9aaa115d03b620f9814b5feb637,1.0
